version,id,dates,moves,exercise,stand,steps,calories
1,2,2024-05-14,2,3443,120,697,697
0,1000,2024-05-17,275,0,14,3916,1831
0,1001,2024-05-18,314,5,12,5778,1862
0,1002,2024-05-19,0,0,0,0,1151
0,1003,2024-05-20,137,0,7,1424,1613
0,1004,2024-05-21,333,5,13,4416,1933
0,1005,2024-05-22,67,30,4,1004,1480
0,1006,2024-05-23,258,3,12,2600,1808
0,1007,2024-05-24,60,0,4,642,1468
0,1008,2024-05-25,316,5,11,5800,1896
0,1009,2024-05-26,126,0,5,2419,1565
0,1010,2024-05-27,31,0,2,396,1412
0,1011,2024-05-28,182,0,10,2089,1329
0,1012,2024-05-29,0,0,0,0,0
0,1013,2024-05-30,5,0,0,0,1386
0,1014,2024-05-31,123,0,5,1343,1574
0,1015,2024-06-01,266,3,11,4364,1655
0,1016,2024-06-02,0,0,0,0,0
0,1017,2024-06-03,0,0,0,0,0
0,1018,2024-05-04,291,4,14,3818,1768
0,1019,2024-06-05,0,0,0,0,0
0,1020,2024-06-06,395,7,13,6687,2034
0,1021,2024-06-07,256,2,10,2860,1825
0,1022,2024-06-08,300,3,12,3140,1913
0,1023,2024-06-09,156,1,9,1328,1636
0,1024,2024-06-10,254,1,11,4242,1792
0,1025,2024-06-11,33,2,2,377,520
0,1026,2024-06-12,113,0,6,2208,1464
0,1027,2024-06-13,0,0,0,0,800
0,1028,2024-06-14,202,3,10,2730,1620
0,1029,2024-06-15,0,0,0,0,676
0,1030,2024-06-16,110,4,7,2247,1344
0,1031,2024-06-17,0,0,0,0,0
0,1032,2024-06-18,0,0,0,0,0
0,1033,2024-06-19,0,0,0,0,0
0,1034,2024-06-20,0,0,0,0,534
0,1035,2024-06-21,123,0,6,1813,1563
0,1036,2024-06-22,313,0,12,5546,1866
0,1037,2024-06-23,266,3,11,3608,1809
0,1038,2024-06-24,261,10,10,3398,1789
0,1039,2024-06-25,298,0,13,3666,1879
0,1040,2024-06-26,95,0,6,981,1525
0,1041,2024-06-27,267,1,15,2945,1730
0,1042,2024-06-28,0,0,0,0,727
0,1043,2024-06-29,387,2,13,6304,2036
0,1044,2024-06-30,320,22,11,6250,1836
0,1051,2024-07-01,186,2,7,4069,1651
0,1052,2024-07-02,336,6,14,5584,1915
0,1053,2024-07-03,89,0,4,615,1533
0,1054,2024-07-04,244,0,11,3492,1775
0,1055,2024-07-05,269,0,11,4391,1825
0,1056,2024-07-06,508,2,15,8018,2254
0,1057,2024-07-07,11,0,1,159,60
